"River Name","Site","Ele","Amo","Wea"
"Grasse","Down stream","Mn","0.0654034229828851","wet"
"Oswegatchie","Up stream","Mn","1","wet"
"Oswegatchie","Mid stream","Mn","0.0611246943765281","snowy"
"Oswegatchie","Down stream","Mn","0.00672371638141809","wet"
"Raquette","Up stream","Mn","0.0177261613691931","sunny"
"Raquette","Mid stream","Mn","0.0134474327628362","sunny"
"Raquette","Down stream","Mn","0","cloudy"
"St. Regis","Up stream","Mn","0.112469437652812","snowy"
"St. Regis","Mid stream","Mn","0.127750611246944","sunny"
"St. Regis","Down stream","Mn","0.0562347188264059","wet"
"Grasse","Up stream","Nd","0.544776119402985","snowy"
"Grasse","Mid stream","Nd","0.671641791044776","wet"
"Grasse","Down stream","Nd","0.395522388059701","sunny"
"Oswegatchie","Up stream","Nd","1","sunny"
"Oswegatchie","Mid stream","Nd","0.276119402985075","sunny"
"Oswegatchie","Down stream","Nd","0.134328358208955","cloudy"
"Raquette","Up stream","Nd","0.104477611940299","snowy"
"Raquette","Mid stream","Nd","0.0298507462686567","cloudy"
"Raquette","Down stream","Nd","0","cloudy"
"St. Regis","Up stream","Nd","0.559701492537313","sunny"
"St. Regis","Mid stream","Nd","0.455223880597015","cloudy"
"St. Regis","Down stream","Nd","0.276119402985075","cloudy"
"Grasse","Up stream","Pr","0.548387096774194","sunny"
"Grasse","Mid stream","Pr","0.67741935483871","cloudy"
"Grasse","Down stream","Pr","0.387096774193548","sunny"
"Oswegatchie","Up stream","Pr","1","sunny"
"Oswegatchie","Mid stream","Pr","0.290322580645161","wet"
"Oswegatchie","Down stream","Pr","0.129032258064516","cloudy"
"Raquette","Up stream","Pr","0.0967741935483871","sunny"
"Raquette","Mid stream","Pr","0.032258064516129","sunny"
"Raquette","Down stream","Pr","0","cloudy"
"St. Regis","Up stream","Pr","0.516129032258065","sunny"
"St. Regis","Mid stream","Pr","0.419354838709677","wet"
"St. Regis","Down stream","Pr","0.258064516129032","cloudy"
"Grasse","Up stream","Rb","0.0519480519480518","sunny"
"Grasse","Mid stream","Rb","0.519480519480519","cloudy"
"Grasse","Down stream","Rb","0.662337662337662","snowy"
"Oswegatchie","Up stream","Rb","0.337662337662338","sunny"
"Oswegatchie","Mid stream","Rb","0.727272727272727","sunny"
"Oswegatchie","Down stream","Rb","1","sunny"
"Raquette","Up stream","Rb","0.675324675324675","cloudy"
"Raquette","Mid stream","Rb","0.649350649350649","snowy"
"Raquette","Down stream","Rb","0.766233766233766","cloudy"
"St. Regis","Up stream","Rb","0","cloudy"
"St. Regis","Mid stream","Rb","0.168831168831169","cloudy"
"St. Regis","Down stream","Rb","0.363636363636364","snowy"
"Grasse","Up stream","Si","0.821359223300971","wet"
"Grasse","Mid stream","Si","0.658252427184466","sunny"
"Grasse","Down stream","Si","0.731391585760518","sunny"
"Oswegatchie","Up stream","Si","0.468608414239482","snowy"
"Oswegatchie","Mid stream","Si","0.27378640776699","wet"
"Oswegatchie","Down stream","Si","0.640129449838188","wet"
"Raquette","Up stream","Si","0","snowy"
"Raquette","Mid stream","Si","0.0705501618122977","cloudy"
"Raquette","Down stream","Si","0.0776699029126214","sunny"
"St. Regis","Up stream","Si","1","cloudy"
"St. Regis","Mid stream","Si","0.845307443365696","sunny"
"St. Regis","Down stream","Si","0.686084142394822","cloudy"
"Grasse","Up stream","Sr","0.209039548022599","wet"
"Grasse","Mid stream","Sr","0.348998459167951","cloudy"
"Grasse","Down stream","Sr","0.787621982537237","wet"
"Oswegatchie","Up stream","Sr","0","snowy"
"Oswegatchie","Mid stream","Sr","0.594247560349255","snowy"
"Oswegatchie","Down stream","Sr","1","snowy"
"Raquette","Up stream","Sr","0.123009758602979","cloudy"
"Raquette","Mid stream","Sr","0.261427837699024","cloudy"
"Raquette","Down stream","Sr","0.621212121212121","sunny"
"St. Regis","Up stream","Sr","0.163585002568053","snowy"
"St. Regis","Mid stream","Sr","0.179506933744222","cloudy"
"St. Regis","Down stream","Sr","0.330765279917822","sunny"
"Grasse","Up stream","Y","0.658536585365854","sunny"
"Grasse","Mid stream","Y","0.713414634146341","sunny"
"Grasse","Down stream","Y","0.396341463414634","cloudy"
"Oswegatchie","Up stream","Y","1","snowy"
"Oswegatchie","Mid stream","Y","0.304878048780488","cloudy"
"Oswegatchie","Down stream","Y","0.140243902439024","cloudy"
"Raquette","Up stream","Y","0.0670731707317073","snowy"
"Raquette","Mid stream","Y","0.048780487804878","sunny"
"Raquette","Down stream","Y","0","snowy"
"St. Regis","Up stream","Y","0.560975609756098","wet"
"St. Regis","Mid stream","Y","0.457317073170732","sunny"
"St. Regis","Down stream","Y","0.304878048780488","wet"
"Grasse","Up stream","Yb","0.642857142857143","snowy"
"Grasse","Mid stream","Yb","0.571428571428572","sunny"
"Grasse","Down stream","Yb","0.428571428571429","sunny"
"Oswegatchie","Up stream","Yb","1","snowy"
"Oswegatchie","Mid stream","Yb","0.214285714285714","sunny"
"Oswegatchie","Down stream","Yb","0.142857142857143","sunny"
"Raquette","Up stream","Yb","0","snowy"
"Raquette","Mid stream","Yb","0.0714285714285714","cloudy"
"Raquette","Down stream","Yb","0","cloudy"
"St. Regis","Up stream","Yb","0.642857142857143","cloudy"
"St. Regis","Mid stream","Yb","0.428571428571429","snowy"
"St. Regis","Down stream","Yb","0.357142857142857","sunny"
"Grasse","Up stream","Zn","1","sunny"
"Grasse","Mid stream","Zn","0.253164556962025","sunny"
"Grasse","Down stream","Zn","0","snowy"
"Oswegatchie","Up stream","Zn","1","wet"
"Oswegatchie","Mid stream","Zn","0.531645569620253","cloudy"
"Oswegatchie","Down stream","Zn","0.240506329113924","sunny"
"Raquette","Up stream","Zn","0.291139240506329","wet"
"Raquette","Mid stream","Zn","0","cloudy"
"Raquette","Down stream","Zn","0.987341772151899","sunny"
"St. Regis","Up stream","Zn","0.746835443037975","cloudy"
"St. Regis","Mid stream","Zn","0.379746835443038","wet"
"St. Regis","Down stream","Zn","0.10126582278481","wet"
"Grasse","Up stream","Zr","0.888888888888889","wet"
"Grasse","Mid stream","Zr","0.666666666666667","snowy"
"Grasse","Down stream","Zr","0.777777777777778","snowy"
"Oswegatchie","Up stream","Zr","1","snowy"
"Oswegatchie","Mid stream","Zr","0.333333333333333","wet"
"Oswegatchie","Down stream","Zr","0.333333333333333","wet"
"Raquette","Up stream","Zr","0.333333333333333","cloudy"
"Raquette","Mid stream","Zr","0.111111111111111","sunny"
"Raquette","Down stream","Zr","0","sunny"
"St. Regis","Up stream","Zr","0.888888888888889","snowy"
"St. Regis","Mid stream","Zr","0.777777777777778","cloudy"
"St. Regis","Down stream","Zr","0.666666666666667","snowy"
